Id,Name,PointsVieBase,ForceBase,DefenseBase,ExperienceBase,SpriteUrl,Type1,Type2
27,sandshrew,16,9,10,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,ground,N/A
28,sandslash,25,12,13,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,ground,N/A
29,nidoran-f,18,5,6,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,poison,N/A
30,nidorina,23,7,8,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,poison,N/A
31,nidoqueen,30,11,10,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,poison,ground
32,nidoran-m,15,7,5,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,poison,N/A
33,nidorino,20,9,7,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,poison,N/A
34,nidoking,27,12,9,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,poison,ground
35,clefairy,23,5,6,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,fairy,N/A
36,clefable,31,8,9,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,fairy,N/A
37,vulpix,12,5,5,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,fire,N/A
38,ninetales,24,9,9,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,fire,N/A
39,jigglypuff,38,5,3,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,normal,fairy
40,wigglytuff,46,8,5,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,normal,fairy
41,zubat,13,5,4,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,poison,flying
42,golbat,25,10,8,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,poison,flying
43,oddish,15,6,6,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,grass,poison
44,gloom,20,8,8,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,grass,poison
45,vileplume,25,10,10,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,grass,poison
46,paras,11,8,6,47,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,bug,grass
47,parasect,20,11,10,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,bug,grass
48,venonat,20,6,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,bug,poison
49,venomoth,23,8,7,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,bug,poison
50,diglett,10,6,3,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,ground,N/A
51,dugtrio,11,12,6,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,ground,N/A
52,meowth,13,5,4,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,normal,N/A
53,persian,21,8,7,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,normal,N/A
54,psyduck,16,6,6,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,water,N/A
55,golduck,26,10,9,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,water,N/A
56,mankey,13,10,4,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,fighting,N/A
57,primeape,21,13,7,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,fighting,N/A
58,growlithe,18,8,5,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,fire,N/A
59,arcanine,30,13,10,92,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,fire,N/A
60,poliwag,13,6,5,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,water,N/A
61,poliwhirl,21,8,8,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,water,N/A
62,poliwrath,30,11,11,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,water,fighting
63,abra,10,5,3,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,psychic,N/A
64,kadabra,13,5,3,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,psychic,N/A
65,alakazam,18,6,5,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,psychic,N/A
66,machop,23,10,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,fighting,N/A
67,machoke,26,12,8,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,fighting,N/A
68,machamp,30,16,10,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,fighting,N/A
69,bellsprout,16,9,4,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,grass,poison
70,weepinbell,21,11,6,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,grass,poison
71,victreebel,26,13,8,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,grass,poison
72,tentacool,13,5,4,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,water,poison
73,tentacruel,26,8,8,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,water,poison
74,geodude,13,10,12,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,rock,ground
75,graveler,18,11,14,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,rock,ground
76,golem,26,15,16,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,rock,ground
77,ponyta,16,10,6,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,fire,N/A
78,rapidash,21,12,8,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,fire,N/A
79,slowpoke,30,8,8,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,water,psychic
80,slowbro,31,9,13,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,water,psychic
81,magnemite,10,5,8,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,electric,steel
82,magneton,16,7,11,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,electric,steel
83,farfetchd,17,11,6,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,normal,flying
84,doduo,11,10,5,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,normal,flying
85,dodrio,20,13,8,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,normal,flying
86,seel,21,5,6,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,water,N/A
87,dewgong,30,8,10,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,water,ice
88,grimer,26,10,6,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,poison,N/A
89,muk,35,13,9,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,poison,N/A
90,shellder,10,8,12,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,water,N/A
91,cloyster,16,11,22,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,water,ice
92,gastly,10,5,3,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,ghost,poison
93,haunter,15,6,5,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,ghost,poison
94,gengar,20,8,7,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,ghost,poison
95,onix,11,5,20,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,rock,ground
96,drowzee,20,6,5,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,psychic,N/A
97,hypno,28,9,8,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,psychic,N/A
98,krabby,10,13,11,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,water,N/A
99,kingler,18,16,14,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,water,N/A
100,voltorb,13,5,6,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,electric,N/A
101,electrode,20,6,8,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,electric,N/A
102,exeggcute,20,5,10,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,grass,psychic
103,exeggutor,31,11,10,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,grass,psychic
104,cubone,16,6,11,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,ground,N/A
105,marowak,20,10,13,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,ground,N/A
106,hitmonlee,16,15,6,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,fighting,N/A
107,hitmonchan,16,13,9,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,fighting,N/A
108,lickitung,30,6,9,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,normal,N/A
109,koffing,13,8,11,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,poison,N/A
110,weezing,21,11,15,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,poison,N/A
111,rhyhorn,26,10,11,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,ground,rock
112,rhydon,35,16,15,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,ground,rock
113,chansey,83,5,3,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,normal,N/A
114,tangela,21,6,14,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,grass,N/A
115,kangaskhan,35,11,10,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,normal,N/A
116,horsea,10,5,8,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,water,N/A
117,seadra,18,8,11,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,water,N/A
118,goldeen,15,8,7,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,water,N/A
119,seaking,26,11,8,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,water,N/A
120,staryu,10,5,6,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,water,N/A
121,starmie,20,9,10,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,water,psychic
122,mr-mime,13,5,8,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,psychic,fairy
123,scyther,23,13,10,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,bug,flying
124,jynx,21,6,4,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,ice,psychic
125,electabuzz,21,10,7,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,electric,N/A
126,magmar,21,11,7,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,fire,N/A
127,pinsir,21,15,12,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,bug,N/A
128,tauros,25,12,11,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,normal,N/A
129,magikarp,10,5,6,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,water,N/A
130,gyarados,31,15,9,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,water,flying
131,lapras,43,10,10,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,water,ice
132,ditto,16,6,6,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,normal,N/A
133,eevee,18,6,6,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,normal,N/A
134,vaporeon,43,8,7,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,water,N/A
135,jolteon,21,8,7,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,electric,N/A
136,flareon,21,16,7,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,fire,N/A
137,porygon,21,7,8,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,normal,N/A
138,omanyte,11,5,12,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,rock,water
139,omastar,23,7,15,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,rock,water
140,kabuto,10,10,11,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,rock,water
141,kabutops,20,14,13,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,rock,water
142,aerodactyl,26,13,8,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,rock,flying
143,snorlax,53,13,8,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,normal,N/A
144,articuno,30,10,12,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,ice,flying
145,zapdos,30,11,10,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,electric,flying
146,moltres,30,12,11,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,fire,flying
147,dratini,13,8,5,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,dragon,N/A
148,dragonair,20,10,8,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,dragon,N/A
149,dragonite,30,16,11,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,dragon,flying
150,mewtwo,35,13,11,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,psychic,N/A
151,mew,33,12,12,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,psychic,N/A
152,chikorita,15,6,8,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,grass,N/A
153,bayleef,20,7,10,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,grass,N/A
154,meganium,26,10,12,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,grass,N/A
155,cyndaquil,13,6,5,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,fire,N/A
156,quilava,19,8,7,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,fire,N/A
157,typhlosion,26,10,9,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,fire,N/A
158,totodile,16,8,8,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,water,N/A
159,croconaw,21,10,10,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,water,N/A
160,feraligatr,28,13,12,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,water,N/A
161,sentret,11,5,4,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,normal,N/A
162,furret,28,9,8,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,normal,N/A
163,hoothoot,20,5,3,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,normal,flying
164,noctowl,33,6,6,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,normal,flying
165,ledyba,13,5,3,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,bug,flying
166,ledian,18,5,6,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,bug,flying
167,spinarak,13,7,5,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,bug,poison
168,ariados,23,11,8,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,bug,poison
169,crobat,28,11,10,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,poison,flying
170,chinchou,25,5,4,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,water,electric
171,lanturn,41,7,7,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,water,electric
172,pichu,10,5,3,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,electric,N/A
173,cleffa,16,5,3,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,fairy,N/A
174,igglybuff,30,5,3,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,normal,fairy
175,togepi,11,5,8,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,fairy,N/A
176,togetic,18,5,10,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,fairy,flying
177,natu,13,6,5,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,psychic,flying
178,xatu,21,9,8,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,psychic,flying
179,mareep,18,5,5,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,electric,N/A
180,flaaffy,23,6,6,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,electric,N/A
181,ampharos,30,9,10,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,electric,N/A
182,bellossom,25,10,11,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,grass,N/A
183,marill,23,5,6,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,water,fairy
184,azumarill,33,6,10,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,water,fairy
185,sudowoodo,23,12,14,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,rock,N/A
186,politoed,30,9,9,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,water,N/A
187,hoppip,11,5,5,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,grass,flying
188,skiploom,18,5,6,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,grass,flying
189,jumpluff,25,6,8,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,grass,flying
190,aipom,18,8,6,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,normal,N/A
191,sunkern,10,5,3,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,grass,N/A
192,sunflora,25,9,6,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,grass,N/A
193,yanma,21,8,5,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,bug,flying
194,wooper,18,5,5,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png,water,ground
195,quagsire,31,10,10,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png,water,ground
196,espeon,21,8,7,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png,psychic,N/A
197,umbreon,31,8,13,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png,dark,N/A
198,murkrow,20,10,5,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png,dark,flying
199,slowking,31,9,10,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png,water,psychic
200,misdreavus,20,7,7,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png,ghost,N/A
201,unown,16,9,6,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,psychic,N/A
202,wobbuffet,63,5,7,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png,psychic,N/A
203,girafarig,23,10,8,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png,normal,psychic
204,pineco,16,8,11,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png,bug,N/A
205,forretress,25,11,17,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png,bug,steel
206,dunsparce,33,8,8,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png,normal,N/A
207,gligar,21,9,13,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png,ground,flying
208,steelix,25,10,25,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png,steel,ground
209,snubbull,20,10,6,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png,fairy,N/A
210,granbull,30,15,9,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png,fairy,N/A
211,qwilfish,21,11,10,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png,water,poison
212,scizor,23,16,12,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png,bug,steel
213,shuckle,10,5,28,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png,bug,rock
214,heracross,26,15,9,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png,bug,fighting
215,sneasel,18,11,6,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png,dark,ice
216,teddiursa,20,10,6,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png,normal,N/A
217,ursaring,30,16,9,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png,normal,N/A
218,slugma,13,5,5,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png,fire,N/A
219,magcargo,20,6,15,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png,fire,rock
220,swinub,16,6,5,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png,ice,ground
221,piloswine,33,12,10,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png,ice,ground
222,corsola,21,6,11,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png,water,rock
223,remoraid,11,8,4,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png,water,N/A
224,octillery,25,13,9,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png,water,N/A
225,delibird,15,6,5,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png,ice,flying
226,mantine,28,5,8,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png,water,flying
